Sentence,Opinion
Kontact is the main application I run 24h/24h and these workarounds are poor fixes that I consider not acceptable for a PIM package.,0
the issue happends on i386 version on santa rosa as well and I didn't see this issue with Weybridge platform. I agree with Albert,0
I now have the nVidia driver running beautifully. Thanks for your help Jose.,0
none of the previous suggestions worked for me.,0
People have stoppef complaining because there has been no change for so long. I ended up changing a perfectly good mouse to resolve the issue.,0
Hi Leann I have tested booting from a live cd. The crash also happens using the live cd. Also it is not stable sometimes it crashes sometimes not. I have attached the /var/log/kern.log.0 file. I crashed a few times before it booted ok. That is when I copied the file. I don't know if it's interesting but I hope it is helpful.,0
I can also confirm this bug I get pretty much the same command line output as in the description.,0
That's not good as it makes internal servers unsecure...,0
sbg you are right.,0
I have already described my problem as bug 114233. However it got worse now: I cannot even use OSS anymore.,0
for me yes and since it ' s limited scope i would probably not even add a toolbar button but simply add it to the view menu.,0
We can still give them icons by hand but unfortunately the places menu ignores those icons!,0
I am getting the same error on xubuntu release candidate with all updates,0
I've upgraded to 7.10 and the bcm4306 driver no longer works properly.,0
henry thank you for the useful comment.,0
Need to reopen this. Anything that forces a hard reboot is a bad bug...,0
The good news is that the CPU fan problem described in Bug 127772 appears fixed so I marked that one taken care of.,0
the patch above didn't go smoothly and i can't justify working more on it during work time,0
agreed! a laptop without a decent wireless connection is a big problem!,0
Its not yet fixed so we may have to wait for that as well.,0
Regarding the filter idea: it sounds good to me but I think we should move the discussion about it to a separate bug.,0
That said I'm not sure the video plugin is actually terribly useful now - the big Xv-with-Compiz bugs have mostly been fixed in the drivers.,0
Okay I'm sure your workaround is the way to go it's just the implementation which doesn't seem to be the same between my computer and yours.,0
And after hundreds of that messages I can not use DVD-ROM. DVD-ROM locks. When it has CD or DVD inside - that errors do not appear.,0
Excellent idea!,0
I won't do it myself as I'm not a member of the team,0
"i agree with sergio ""i think that the importance [should] be related...",0
With 6+ hours of battery life I don't think it's dangerous to update the apt database without the AC adapter connected.,0
Confirming this bug (Gutsy). Worked fine in Feisty.,0
no i wouldn ' t think so - bug 121623 is just a way of passing context but it doesn ' t change how decoration is done,0
John the Sun Java 6 Update 1 packages work perfectly and they cause no memleak. I am using eclispe for a long time and it's working perfectly.,0
Just so people know there doesn't seem to be any need to update the display driver just mesa and the DRI driver (and libdrm). Unfortunately current git master has a pretty massive bug that breaks display of textures when auto-generation of mip-maps is use,0
This bug is now fixed in the latest Linux kernel git.,0
it's not a super common bug but when it hits the results are brutal.,0
ok i agree that fixing it is better than removing.,0
that's not an evolution bug,0
I have the same problem and work with the same unit (LT2610) as Guillaume has. I had installed with the latest *buntu distro (hardy) with the lates geode driver(2.9) but still no luck.,0
on my m1330 neither internal or external microphones are working!,0
